LGA Name,Tenure type,Very low income <$603 per wk,Low income $603-$964 per wk,Moderate income $965-$1446 per wk,Total
West Torrens (C),Rented: TOTAL,2301,1400,1393,8277
West Torrens (C),Other tenure types,2376,1637,1200,8248
West Torrens (C),Total households,5084,3555,3499,23284
Whyalla (C),Being purchased (incl rent/buy),263,268,345,2889
Whyalla (C),Rented: Public,977,245,94,1564
Whyalla (C),Rented: Private and not stated,482,289,261,1601
Whyalla (C),Rented: Other landlord,50,12,26,175
Whyalla (C),Rented: TOTAL,1509,546,381,3340
Whyalla (C),Other tenure types,763,590,304,2542
Whyalla (C),Total households,2534,1408,1034,8774
Wudinna (DC),Being purchased (incl rent/buy),15,11,15,98
Wudinna (DC),Rented: Public,12,3,3,19
Wudinna (DC),Rented: Private and not stated,13,10,22,66
Wudinna (DC),Rented: Other landlord,0,0,9,14
Wudinna (DC),Rented: TOTAL,25,13,34,99
Wudinna (DC),Other tenure types,78,45,34,279
Wudinna (DC),Total households,121,66,78,477
Yankalilla (DC),Being purchased (incl rent/buy),114,103,120,704
Yankalilla (DC),Rented: Public,12,3,0,15
Yankalilla (DC),Rented: Private and not stated,134,63,49,329
Yankalilla (DC),Rented: Other landlord,14,6,12,44
Yankalilla (DC),Rented: TOTAL,160,72,61,388
Yankalilla (DC),Other tenure types,314,253,138,1014
Yankalilla (DC),Total households,589,431,321,2105
Yorke Peninsula (DC),Being purchased (incl rent/buy),160,181,173,1061
